Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE
2022-08-11,110.49302673339844,59.077999114990234,104.20045471191406,126.92227935791016,298.98876953125,434.8900146484375,98.12000274658203,21.47874641418457,58.531490325927734,129.13046264648438,245.50125122070312,121.5,93.68000030517578,255.52188110351562,145.40725708007812
2022-08-12,112.39781951904297,60.450374603271484,105.13409423828125,127.3868408203125,304.7132873535156,445.6700134277344,100.83000183105469,21.9550724029541,59.830322265625,130.6962890625,251.12864685058594,124.51000213623047,95.94999694824219,270.7839660644531,148.12432861328125
2022-08-15,111.79981231689453,60.649131774902344,105.53018951416016,127.10990142822266,304.608642578125,451.0199890136719,101.01000213623047,22.21087646484375,59.86770248413086,131.0387725830078,254.1231231689453,126.04000091552734,97.08000183105469,273.1977844238281,148.0807647705078
2022-08-16,110.93600463867188,60.885746002197266,105.65279388427734,127.34217071533203,305.03662109375,447.55999755859375,100.19999694824219,22.105022430419922,59.79295349121094,129.9329376220703,253.59466552734375,124.18000030517578,98.08000183105469,270.05303955078125,149.421875
2022-08-17,108.84662628173828,60.77216720581055,104.25703430175781,126.35057067871094,302.82098388671875,437.82000732421875,98.2699966430664,22.060922622680664,59.70885467529297,139.24949645996094,248.45863342285156,121.87000274658203,95.72000122070312,266.9852600097656,148.6816864013672
2022-08-18,108.29290008544922,60.67751693725586,103.70063781738281,126.2165756225586,303.7814025878906,439.0299987792969,100.44000244140625,22.951826095581055,60.316226959228516,136.97909545898438,248.08786010742188,121.2699966430664,96.80000305175781,268.8028869628906,144.4405517578125
2022-08-19,108.30036163330078,59.276763916015625,103.794921875,126.71685028076172,299.8160705566406,425.05999755859375,95.94999694824219,22.563709259033203,59.5032844543457,134.6792755126953,244.47219848632812,114.76000213623047,97.04000091552734,259.6763610839844,142.08056640625
2022-08-22,105.60777282714844,58.00851058959961,101.33351135253906,125.36792755126953,294.78564453125,411.3500061035156,92.83999633789062,22.025638580322266,58.12969970703125,131.07794189453125,241.8856201171875,111.38999938964844,94.55000305175781,265.1387939453125,139.49412536621094
2022-08-23,105.72711181640625,57.49740982055664,99.9754867553711,124.18875122070312,291.6476745605469,410.4100036621094,92.48999786376953,21.88450813293457,57.92280197143555,129.8057098388672,242.26573181152344,111.5999984741211,93.36000061035156,270.2646789550781,137.3169403076172
2022-08-24,105.19755554199219,57.6961784362793,99.43791198730469,123.1971664428711,291.22918701171875,405.6499938964844,92.7300033569336,22.554887771606445,57.88517379760742,130.813720703125,243.5636749267578,114.51000213623047,93.51000213623047,276.85223388671875,138.7713165283203
2022-08-25,106.48045349121094,57.84760284423828,99.86231231689453,124.4656753540039,294.56695556640625,403.92999267578125,97.18000030517578,23.172346115112305,58.53409194946289,133.10366821289062,247.15145874023438,117.02999877929688,94.62999725341797,284.3534240722656,141.03553771972656
2022-08-26,96.32168579101562,55.301631927490234,96.09943389892578,121.80360412597656,283.4982604980469,381.0199890136719,91.18000030517578,22.60781478881836,57.245670318603516,127.09489440917969,243.10935974121094,112.81999969482422,92.04000091552734,277.12158203125,137.59564208984375
2022-08-29,94.3078384399414,54.6107177734375,96.04283905029297,121.23187255859375,280.6549987792969,375.260009765625,88.48999786376953,22.475502014160156,57.198646545410156,125.37249755859375,241.6909637451172,113.54000091552734,91.79000091552734,274.0536804199219,135.6013946533203
2022-08-30,93.1293716430664,54.36463928222656,96.38233947753906,121.08895111083984,278.1445617675781,375.07000732421875,86.94000244140625,22.44021987915039,56.54972457885742,125.53887939453125,237.194580078125,112.55999755859375,91.72000122070312,262.3210754394531,134.0947723388672
2022-08-31,92.74897003173828,53.42763900756836,96.8067398071289,120.1152572631836,274.30279541015625,373.44000244140625,84.87000274658203,22.44904136657715,55.88199996948242,125.50953674316406,234.04249572753906,113.12000274658203,90.27999877929688,257.69537353515625,133.58969116210938
2022-09-01,93.70368957519531,53.39925003051758,98.87206268310547,123.67955780029297,274.6166076660156,370.5299987792969,82.33000183105469,22.80187225341797,55.97605514526367,126.17498779296875,231.7711181640625,113.4000015258789,90.20999908447266,247.11669921875,132.1527862548828
2022-09-02,90.7351303100586,53.25727844238281,96.66529083251953,121.74108123779297,270.1282958984375,368.1400146484375,80.23999786376953,23.066499710083008,55.863197326660156,125.2746353149414,228.55413818359375,113.63999938964844,88.26000213623047,249.92483520507812,130.96841430664062
2022-09-06,86.96846771240234,52.89762496948242,96.86332702636719,122.91133117675781,269.54815673828125,368.29998779296875,78.72000122070312,22.978288650512695,55.98545837402344,126.5370864868164,228.22035217285156,113.69999694824219,88.6500015258789,256.4836120605469,132.95396423339844
2022-09-07,89.91465759277344,54.14694595336914,98.74005126953125,123.91182708740234,272.68621826171875,379.7200012207031,79.61000061035156,23.97504425048828,57.236263275146484,128.62156677246094,235.27548217773438,116.06999969482422,90.29000091552734,268.5047607421875,134.40829467773438
2022-09-08,88.95995330810547,53.80622482299805,100.8996810913086,125.52873992919922,273.8273010253906,383.6300048828125,82.77999877929688,24.142641067504883,57.99803161621094,132.3012237548828,235.32186889648438,118.58000183105469,90.22000122070312,280.2662658691406,136.6725311279297
2022-09-09,91.8166275024414,53.276206970214844,102.30487823486328,126.33270263671875,276.2902526855469,394.7799987792969,85.44999694824219,24.195568084716797,58.19553756713867,134.68910217285156,238.23291015625,123.4800033569336,91.69000244140625,288.86383056640625,138.32717895507812
2022-09-12,92.67438507080078,53.16263198852539,103.06875610351562,127.06523895263672,280.7690734863281,396.3599853515625,84.63999938964844,24.336700439453125,58.77861022949219,136.88121032714844,244.28675842285156,124.79000091552734,93.11000061035156,285.5940246582031,139.5811767578125
2022-09-13,89.85498809814453,51.27918243408203,99.81514739990234,123.75102233886719,267.70343017578125,368.3900146484375,77.02999877929688,23.666311264038086,57.170433044433594,130.6864776611328,237.40777587890625,121.54000091552734,89.66000366210938,286.6711730957031,133.87705993652344
2022-09-14,87.6621322631836,49.471439361572266,99.7585678100586,124.66222381591797,264.8601989746094,371.5199890136719,77.44999694824219,23.842731475830078,56.54972457885742,130.40267944335938,236.57339477539062,126.80000305175781,89.38999938964844,295.2879333496094,132.36180114746094
2022-09-15,86.83423614501953,50.086631774902344,99.07954406738281,127.30642700195312,260.4193420410156,309.1300048828125,76.66000366210938,23.542823791503906,56.013671875,130.3146209716797,230.3527069091797,125.04000091552734,88.23999786376953,276.1207275390625,131.40379333496094
2022-09-16,86.97593688964844,48.95089340209961,98.07988739013672,128.69107055664062,259.29730224609375,299.5,76.51000213623047,22.863618850708008,55.957244873046875,127.11447143554688,229.32362365722656,118.75,87.16000366210938,276.6695861816406,131.2035675048828
